2024-03-12T16:10:09.706Z - Request to /, Payload: undefined, Response: Error serving index.html
2024-03-12T16:10:10.344Z - Request to /favicon.ico, Payload: {}, Response: 404 Not Found
2024-03-12T16:12:13.145Z - Request to /, Payload: undefined, Response: Error serving index.html
2024-03-12T16:14:29.531Z - Request to /, Payload: {}, Response: 404 Not Found
2024-03-12T16:15:14.949Z - Request to /, Payload: {}, Response: 404 Not Found
2024-03-12T16:16:11.511Z - Request to /css/index.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:16:11.514Z - Request to /css/navbar.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:16:11.515Z - Request to /css/footer.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:16:11.517Z - Request to /js/index.js, Payload: {}, Response: 404 Not Found
2024-03-12T16:17:06.059Z - Request to /v1, Payload: {}, Response: 404 Not Found
2024-03-12T16:17:07.089Z - Request to /v1, Payload: {}, Response: 404 Not Found
2024-03-12T16:17:10.293Z - Request to /, Payload: {}, Response: 404 Not Found
2024-03-12T16:17:11.686Z - Request to /, Payload: {}, Response: 404 Not Found
2024-03-12T16:18:02.552Z - Request to /api/css/index.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:18:02.555Z - Request to /api/css/navbar.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:18:02.557Z - Request to /api/css/footer.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:18:02.559Z - Request to /api/js/index.js, Payload: {}, Response: 404 Not Found
2024-03-12T16:23:47.078Z - Request to /, Payload: undefined, Response: Error serving index.html
2024-03-12T16:24:09.196Z - Request to /api/css/index.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:24:09.201Z - Request to /api/css/navbar.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:24:09.203Z - Request to /api/css/footer.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:24:09.204Z - Request to /api/js/index.js, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:24.318Z - Request to /api/css/index.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:24.330Z - Request to /api/css/navbar.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:24.332Z - Request to /api/css/footer.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:24.334Z - Request to /api/js/index.js, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:25.536Z - Request to /api/css/index.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:25.538Z - Request to /api/css/navbar.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:25.539Z - Request to /api/css/footer.css, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:25.541Z - Request to /api/js/index.js, Payload: {}, Response: 404 Not Found
2024-03-12T16:30:32.619Z - Request to /posts, Payload: undefined, Response: An error occurred while fetching posts
